Model,Test,Few(n),n,Prompt,r,ex_selector,s,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
t0,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,20.8,1.86,39.7,57.55,33.04,7.04,30.91,32.86,31.41,32.57,30.34,31.44,82.96,109.01,53.64,19.05,89.54,98.58,25.12,67.74,1.41,1.63,0.54,0.07,0.49,0.45,8.54
t5-large-lm-adapt,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,18.3,1.86,59.8,38.77,33.48,6.35,11.5,52.97,30.99,13.79,56.58,34.12,34.49,20.97,20.07,14.25,68.56,84.2,23.97,66.59,3.86,4.64,0.44,0.02,0.72,0.09,8.54
t0,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,21.17,1.78,39.69,57.04,32.83,7.58,31.2,31.64,30.96,32.9,29.62,31.26,109.66,273.36,53.23,19.42,89.74,97.19,25.32,67.84,1.38,1.53,0.54,0.08,0.47,0.46,8.59
bloom-560m,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,16.0,1.66,44.19,54.27,33.37,7.58,26.71,36.28,30.93,29.0,35.22,31.97,69.84,65.75,37.67,22.8,82.96,95.96,27.68,76.93,2.21,2.34,0.52,0.15,0.55,0.32,8.49
t0pp,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,21.18,1.3,44.13,53.64,33.02,8.2,29.01,33.01,30.66,31.47,32.08,31.8,67.08,87.61,47.62,21.84,85.28,95.6,21.66,58.38,1.7,1.67,0.56,0.2,0.52,0.38,8.48
t0-3b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,20.59,1.57,40.81,54.32,32.23,8.78,27.94,31.39,29.24,30.43,30.69,30.57,74.97,101.69,49.91,18.68,89.1,98.21,23.35,63.05,1.59,1.54,0.54,0.14,0.52,0.41,8.53
openai-text-ada-001,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,17.03,1.95,46.01,64.19,37.38,10.62,25.92,30.17,27.96,51.33,49.71,50.38,1108.22,13624.9,37.52,23.05,89.27,97.86,34.2,82.21,1.22,1.05,0.67,0.1,0.32,0.35,8.8
t0pp,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,18.73,1.43,38.81,55.76,32.0,7.63,26.4,29.19,27.4,28.28,27.36,27.86,68.92,77.46,49.11,20.86,86.63,96.42,21.85,58.01,1.62,1.64,0.53,0.16,0.54,0.43,8.47
t5-base-lm-adapt,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,16.1,1.51,55.67,44.32,33.83,6.72,9.29,43.44,25.37,11.43,45.47,27.72,47.93,36.16,12.01,13.65,68.46,84.24,18.72,56.9,3.76,3.78,0.43,0.0,0.72,0.13,8.65
openai-text-ada-001,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,15.43,1.95,44.77,64.69,37.14,9.6,19.81,28.76,24.21,40.02,45.82,42.82,419.84,3362.2,30.81,20.14,86.39,97.57,31.28,77.11,1.42,1.25,0.65,0.0,0.43,0.32,8.83
t5-xl-lm-adapt,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,11.64,1.9,50.32,47.75,33.32,8.9,7.97,37.7,22.23,28.19,65.37,45.74,66.72,82.66,19.28,18.69,72.67,86.8,21.92,59.27,3.24,2.83,0.56,0.02,0.56,0.11,9.04
t5-xxl-lm-adapt,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,10.38,2.36,48.3,47.18,32.61,9.1,6.29,38.43,21.69,25.55,67.02,45.09,48.43,51.48,28.21,18.29,73.37,89.9,25.83,69.94,3.44,3.49,0.52,0.03,0.61,0.09,9.08
t5-xxl-lm-adapt,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,10.69,2.27,48.27,44.87,31.8,9.47,6.0,38.49,21.55,26.43,68.21,46.08,49.64,87.67,26.88,18.07,72.7,88.64,26.21,69.66,3.46,3.38,0.52,0.04,0.59,0.09,9.09
t0-3b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,15.58,1.39,43.51,65.69,36.86,10.62,19.47,22.95,21.17,41.37,39.97,40.62,163.06,601.62,39.09,18.8,88.78,96.7,28.97,71.25,1.32,1.1,0.66,0.07,0.36,0.37,8.94
t5-xl-lm-adapt,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,10.8,1.84,50.85,50.21,34.3,8.92,5.99,37.7,21.16,25.48,67.07,45.03,53.91,134.1,24.66,17.39,71.64,87.13,25.25,68.06,3.44,3.43,0.52,0.07,0.6,0.09,9.02
t0,asset-test,asset-valid,3,p1,1,random,95829907.66666667,30.02,1.65,32.89,64.18,32.91,6.95,20.88,20.9,19.68,18.01,10.12,13.97,2604.62,21825.85,25.83,24.95,88.49,93.4,40.24,82.99,0.87,1.18,0.45,0.04,0.35,0.64,8.35
t5-base-lm-adapt,asset-test,asset-valid,3,p2,1,random,95829907.66666667,13.24,2.77,44.63,56.69,34.7,6.8,5.66,37.17,19.63,4.77,30.39,17.07,182.84,2761.76,14.27,13.58,62.03,76.68,23.99,61.24,3.5,4.49,0.38,0.01,0.78,0.17,8.53
t5-xxl-lm-adapt,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,10.31,2.14,49.48,47.73,33.12,8.9,2.59,37.08,19.12,19.56,62.68,39.95,59.23,79.16,16.62,15.73,71.64,88.1,20.96,59.32,3.63,3.21,0.51,0.01,0.63,0.09,9.03
t5-xl-lm-adapt,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,10.07,1.95,50.32,48.67,33.65,8.83,2.11,37.25,18.91,19.97,66.57,41.87,46.96,121.09,22.59,15.48,69.84,86.3,24.67,67.34,3.77,3.75,0.48,0.03,0.65,0.08,9.02
bloomz-560m,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,10.78,1.63,25.07,58.56,28.42,7.75,17.28,20.14,18.25,17.35,15.9,16.65,90.98,196.4,38.81,21.08,87.52,97.8,28.64,77.68,1.48,1.53,0.45,0.04,0.62,0.56,8.38
t0,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,12.53,1.73,38.86,68.7,36.43,10.52,16.5,19.75,18.08,36.89,34.01,35.38,113.84,245.21,45.85,20.29,88.95,97.76,28.67,71.5,1.38,1.19,0.6,0.15,0.41,0.4,8.96
t0,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,14.69,1.52,29.67,59.65,30.28,6.48,18.08,18.85,17.98,17.59,14.19,15.89,452.1,2455.7,42.12,24.03,89.37,97.32,23.79,63.78,1.26,1.6,0.45,0.02,0.52,0.58,8.44
t0-3b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,12.16,1.64,44.67,68.18,38.16,10.34,14.38,21.44,17.83,32.02,35.63,33.7,91.35,178.74,42.02,19.52,85.22,97.21,25.51,67.25,1.87,1.59,0.58,0.14,0.49,0.31,9.0
t5-large-lm-adapt,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,9.89,1.65,49.21,50.26,33.71,8.87,2.78,34.0,17.8,19.6,58.99,38.25,57.29,74.86,15.19,15.23,71.4,86.99,20.55,58.41,3.62,3.19,0.5,0.0,0.64,0.11,9.0
bloomz-560m,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,11.57,1.44,25.52,58.68,28.55,7.53,16.73,19.16,17.56,16.61,14.58,15.62,109.93,174.42,34.21,22.82,88.92,97.88,30.55,80.06,1.42,1.55,0.45,0.04,0.59,0.57,8.44
opt-iml-max-30b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,10.09,2.2,36.05,72.06,36.77,4.97,19.73,15.14,17.42,36.22,25.5,30.78,98.25,94.12,43.33,20.84,89.11,99.57,21.91,48.4,1.0,1.39,0.56,0.08,0.43,0.51,8.76
t5-base-lm-adapt,asset-test,asset-valid,3,p0,1,random,95829907.66666667,12.18,2.76,42.58,58.61,34.65,6.57,4.8,33.1,17.29,3.64,25.84,14.34,193.77,2781.79,13.56,12.97,61.35,75.9,23.65,60.49,3.41,4.44,0.38,0.01,0.79,0.19,8.53
ul2,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,8.75,2.77,49.41,55.48,35.89,9.28,-0.09,35.81,17.15,13.88,57.86,34.74,44.21,27.19,19.79,12.91,69.7,88.95,24.88,69.73,4.07,3.78,0.43,0.0,0.71,0.09,9.1
bloomz,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,10.57,2.49,37.03,72.74,37.42,5.27,18.38,15.14,16.77,32.62,25.05,28.81,94.36,169.65,41.17,19.59,87.84,99.19,22.06,48.87,1.04,1.43,0.56,0.05,0.46,0.51,8.77
ul2,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.81,2.78,49.88,56.68,36.45,9.28,-0.24,35.14,16.75,13.37,56.84,34.0,43.63,26.28,19.29,13.25,69.15,88.16,24.85,69.08,4.06,3.88,0.43,0.0,0.71,0.09,9.14
t0-3b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,11.87,1.61,41.11,69.97,37.56,10.34,14.96,18.61,16.74,31.16,30.12,30.56,368.95,4759.54,44.04,19.86,87.45,97.49,26.86,69.69,1.66,1.35,0.56,0.14,0.48,0.39,8.99
llama-30b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,11.01,3.34,36.91,72.81,37.69,5.09,17.21,15.52,16.31,29.44,23.59,26.42,87.48,113.62,40.93,20.11,86.47,98.49,20.82,49.22,1.13,1.49,0.54,0.07,0.5,0.5,8.76
llama-65b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,10.49,3.12,36.82,74.09,38.01,4.82,16.88,15.18,15.94,28.04,21.75,24.78,81.32,62.96,40.25,20.28,86.33,98.28,20.74,48.14,1.13,1.47,0.53,0.08,0.51,0.52,8.77
t0,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,11.5,1.6,37.71,67.71,35.67,10.81,14.28,17.69,15.93,35.03,33.18,34.01,142.0,448.21,42.76,20.45,88.04,97.0,27.93,69.76,1.59,1.26,0.59,0.14,0.42,0.38,8.99
llama-13b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.6,3.25,32.78,75.54,37.19,4.49,17.97,12.78,15.35,27.6,17.33,22.39,129.1,591.21,42.18,21.05,87.57,98.92,20.26,47.13,1.06,1.44,0.51,0.03,0.5,0.56,8.71
bloom,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.83,2.96,33.52,75.14,37.21,5.29,16.7,13.58,15.14,26.23,18.9,22.51,88.15,115.01,41.18,20.13,87.12,98.9,21.64,50.34,1.15,1.52,0.51,0.01,0.52,0.54,8.78
bloomz,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,10.29,2.41,35.59,71.93,36.64,4.91,15.35,14.8,15.11,28.68,24.3,26.5,105.08,127.55,37.55,17.51,87.83,99.39,21.71,47.55,1.06,1.47,0.57,0.0,0.49,0.51,8.78
ul2,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.71,2.5,49.24,53.97,35.24,8.9,-2.41,33.96,15.07,11.19,55.96,32.43,56.38,32.95,9.86,9.1,69.17,87.68,20.62,59.56,4.09,3.48,0.43,0.0,0.71,0.09,9.08
opt-66b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.1,2.76,30.64,73.06,35.49,4.97,16.65,13.24,14.94,29.65,21.13,25.34,91.25,112.99,40.78,20.5,87.63,98.84,21.25,49.13,1.08,1.46,0.53,0.03,0.49,0.53,8.8
gpt-neox-20b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.3,2.54,31.75,73.86,36.05,5.42,16.13,13.42,14.78,28.25,21.04,24.61,99.66,259.13,39.83,19.28,86.79,98.68,21.73,50.25,1.11,1.51,0.52,0.05,0.51,0.52,8.8
bloomz-7b1,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.91,2.29,33.04,72.76,36.03,5.39,16.22,13.26,14.75,28.76,21.3,25.01,92.97,160.17,40.01,18.89,87.98,99.16,21.77,49.08,1.1,1.43,0.54,0.05,0.49,0.53,8.8
t0pp,asset-test,asset-valid,3,p1,1,random,95829907.66666667,15.56,1.85,32.78,63.91,32.85,8.14,10.48,20.8,14.51,8.35,10.9,9.6,1144.95,10501.95,24.43,22.77,80.25,88.43,26.7,61.25,1.63,1.69,0.45,0.03,0.6,0.49,8.54
bloomz-7b1,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,10.31,2.11,34.83,70.18,35.7,5.34,14.47,14.26,14.39,28.64,24.51,26.57,98.57,86.38,36.37,16.77,87.93,99.44,21.83,48.41,1.1,1.44,0.57,0.01,0.49,0.5,8.76
opt-iml-max-1.3b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,11.83,1.78,36.76,67.39,35.31,5.38,13.47,14.65,14.08,28.68,26.63,27.64,93.82,72.97,35.93,16.12,86.74,99.03,21.29,49.06,1.24,1.51,0.58,0.0,0.49,0.46,8.78
bloomz-3b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,10.6,1.7,34.99,68.72,35.14,5.37,13.59,13.08,13.36,28.68,24.52,26.59,112.59,152.68,34.91,16.31,87.73,99.23,21.87,47.49,1.1,1.42,0.58,0.02,0.47,0.49,8.78
opt-iml-max-1.3b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,9.67,1.73,34.78,71.9,36.14,5.45,15.29,11.4,13.34,30.44,21.27,25.76,92.27,101.55,40.01,19.07,87.88,99.01,21.17,47.88,1.14,1.43,0.54,0.14,0.46,0.52,8.78
llama-7b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.01,2.85,31.36,75.16,36.46,4.49,14.72,11.81,13.2,24.85,17.6,21.12,108.31,325.31,40.55,20.57,86.69,98.18,20.18,47.89,1.09,1.51,0.5,0.03,0.53,0.55,8.73
llama-65b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,10.29,2.96,35.43,73.52,37.3,4.81,12.66,13.68,13.12,22.93,20.71,21.73,92.15,74.2,36.34,17.35,86.44,98.7,20.4,47.64,1.16,1.52,0.53,0.0,0.54,0.52,8.77
llama-30b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,9.23,2.85,33.21,73.79,36.62,4.76,13.11,12.93,13.04,21.86,17.99,19.9,90.79,79.95,37.22,17.22,86.83,98.95,20.7,48.27,1.17,1.53,0.51,0.0,0.55,0.53,8.77
opt-iml-max-30b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,9.19,2.2,32.68,71.55,35.48,4.77,13.47,12.47,12.99,26.19,20.48,23.32,99.74,91.88,37.26,17.65,87.8,99.2,20.49,47.12,1.1,1.44,0.54,0.0,0.51,0.52,8.74
bloom,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,9.26,2.76,34.3,74.75,37.27,4.95,13.07,12.79,12.96,22.24,18.44,20.33,97.63,135.93,37.64,17.78,86.97,99.1,20.72,47.85,1.19,1.5,0.51,0.0,0.55,0.54,8.75
llama-13b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.64,2.78,32.84,75.47,37.03,4.58,13.81,12.05,12.96,22.25,16.4,19.32,96.52,91.02,38.12,18.22,87.24,99.01,20.1,46.53,1.11,1.49,0.51,0.0,0.54,0.56,8.73
bloomz,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,5.73,1.74,37.49,70.57,36.6,7.08,9.95,15.88,12.9,25.8,27.16,26.47,69.47,173.54,47.67,14.72,82.55,96.98,10.11,22.03,2.93,3.56,0.53,0.07,0.56,0.26,9.15
t0pp,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.84,1.62,36.74,68.05,35.47,10.97,9.39,16.45,12.88,26.21,28.25,27.2,77.43,139.46,38.96,21.48,82.4,94.92,23.63,61.4,2.01,1.49,0.55,0.19,0.53,0.34,9.03
opt-30b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.16,2.35,29.97,71.61,34.64,5.37,13.6,12.17,12.87,28.64,22.81,25.67,131.19,788.08,40.24,19.28,86.74,98.86,20.94,50.51,1.23,1.55,0.53,0.07,0.5,0.5,8.78
gpt-j-6b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,7.75,2.37,31.15,74.96,36.16,5.17,14.59,11.09,12.84,25.52,16.74,21.07,192.21,1768.36,39.13,19.18,87.24,98.74,21.19,49.33,1.09,1.5,0.5,0.03,0.52,0.56,8.77
bloomz-3b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,8.86,1.86,32.8,71.88,35.52,5.61,14.03,11.43,12.74,27.25,20.26,23.72,98.86,199.55,38.03,18.85,87.85,98.96,21.96,48.31,1.09,1.41,0.53,0.1,0.49,0.53,8.81
opt-13b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,7.53,2.43,28.62,71.87,34.3,5.17,13.81,11.48,12.64,26.88,19.61,23.19,142.61,972.29,40.5,20.15,86.5,98.75,20.42,49.66,1.2,1.58,0.52,0.05,0.51,0.52,8.78
llama-30b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,5.45,2.31,37.3,73.06,37.56,6.89,9.2,15.34,12.21,21.35,22.96,22.08,63.09,117.82,47.92,15.74,81.44,96.41,9.82,22.88,3.0,3.59,0.49,0.06,0.61,0.28,9.1
llama-65b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,5.31,2.18,37.46,73.95,37.86,6.85,9.37,15.19,12.2,21.04,22.43,21.68,66.4,154.8,47.45,15.62,81.61,96.36,9.77,22.21,2.97,3.58,0.5,0.07,0.61,0.28,9.09
t5-base-lm-adapt,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,7.92,1.82,39.52,57.47,32.94,6.0,2.61,22.92,12.13,2.42,20.08,11.06,37.33,26.76,17.8,13.73,67.11,84.23,21.81,64.69,3.72,4.63,0.36,0.01,0.82,0.21,8.47
t5-small-lm-adapt,asset-test,asset-valid,3,p1,1,random,95829907.66666667,12.11,2.24,44.81,58.04,35.03,6.83,-0.88,27.97,12.06,-1.74,21.3,9.49,51.49,96.07,5.42,8.13,56.16,69.11,16.98,45.34,3.62,3.85,0.37,0.0,0.81,0.16,8.68
bloom,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.89,2.25,36.36,74.55,37.72,7.11,8.57,15.39,11.95,18.7,21.35,20.0,61.87,119.7,47.5,15.47,81.54,96.57,10.55,24.4,3.07,3.68,0.47,0.01,0.63,0.29,9.13
opt-6.7b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,6.31,2.17,27.03,74.3,34.5,5.21,14.19,9.64,11.91,25.41,16.22,20.75,96.44,151.99,40.42,19.74,87.5,98.77,21.19,50.32,1.12,1.48,0.5,0.04,0.51,0.57,8.82
opt-66b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.47,2.12,31.04,71.84,35.0,5.31,11.8,11.9,11.86,23.95,19.78,21.84,93.16,78.0,37.48,17.27,87.08,99.13,20.99,48.15,1.19,1.48,0.53,0.0,0.52,0.51,8.77
opt-iml-max-1.3b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,6.08,1.55,38.19,71.28,37.01,7.12,9.84,13.91,11.85,26.1,24.86,25.41,82.59,231.67,46.8,15.7,83.35,96.89,10.0,22.43,2.74,3.39,0.52,0.12,0.54,0.28,9.12
opt-iml-max-30b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.55,1.74,32.56,73.09,35.8,6.78,10.02,13.5,11.73,24.83,22.03,23.37,73.41,120.69,49.28,16.34,83.39,97.17,8.85,18.97,2.75,3.56,0.5,0.05,0.56,0.31,9.1
t0pp,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,8.79,1.27,25.39,59.23,28.63,7.8,9.37,14.76,11.62,8.63,10.43,9.54,532.99,5484.59,35.66,22.99,84.14,94.33,16.85,45.63,1.83,1.77,0.42,0.03,0.65,0.51,8.49
opt-6.7b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.55,2.14,31.78,72.9,35.6,5.5,11.65,11.53,11.6,22.33,18.74,20.49,94.05,87.6,36.87,17.08,86.83,98.98,21.39,50.84,1.27,1.53,0.51,0.0,0.54,0.52,8.81
t0pp,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,8.04,1.59,36.95,68.29,35.61,10.67,7.66,15.61,11.58,23.51,26.58,25.01,70.77,102.49,36.6,22.15,80.99,94.23,22.28,58.68,2.18,1.67,0.54,0.17,0.56,0.33,9.04
bloom-7b1,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,7.82,2.47,31.87,73.92,36.09,6.04,11.32,11.77,11.54,21.03,17.86,19.4,80.81,107.2,36.6,18.05,84.41,98.2,21.25,53.92,1.52,1.77,0.49,0.04,0.57,0.49,8.77
bloom-7b1,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.48,2.25,31.51,73.11,35.62,5.45,11.43,11.58,11.52,21.69,18.37,20.01,93.12,80.37,36.26,16.39,86.55,99.02,21.34,49.53,1.24,1.51,0.52,0.0,0.55,0.53,8.78
llama-13b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.89,2.24,34.59,74.12,36.98,6.73,9.43,13.6,11.43,20.43,19.6,19.91,94.75,555.07,48.63,16.41,82.11,96.25,9.2,20.62,2.92,3.54,0.48,0.04,0.59,0.31,9.06
opt-66b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.34,2.08,32.04,73.05,35.72,6.96,9.02,13.88,11.42,21.84,21.7,21.74,72.84,196.78,47.28,15.94,82.01,96.38,9.7,22.25,2.88,3.57,0.49,0.02,0.6,0.29,9.14
gpt-neox-20b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,7.22,2.59,29.37,75.66,35.87,4.92,11.75,10.56,11.18,19.66,14.3,16.95,96.44,89.67,36.18,17.3,87.02,99.07,20.35,47.39,1.18,1.49,0.48,0.0,0.55,0.57,8.77
t5-base-lm-adapt,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,7.67,1.79,38.79,58.27,32.95,6.05,1.76,21.65,11.07,1.47,18.52,9.82,99.39,978.39,17.62,14.04,67.82,84.69,22.22,65.41,3.64,4.39,0.36,0.01,0.82,0.22,8.49
opt-30b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,7.47,2.22,29.12,73.65,35.0,5.2,11.12,10.93,11.04,21.87,17.74,19.78,103.74,152.59,36.09,17.14,87.18,99.16,20.51,48.07,1.23,1.48,0.51,0.0,0.54,0.53,8.78
bloomz-1b1,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,9.2,1.85,34.03,73.29,36.39,5.47,10.96,10.72,10.88,21.28,17.47,19.37,96.65,80.52,32.77,15.61,87.48,99.24,21.27,48.22,1.16,1.42,0.51,0.0,0.54,0.54,8.76
gpt-j-6b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,7.84,2.48,30.67,74.6,35.92,5.07,10.82,10.66,10.77,19.79,16.15,17.96,97.05,113.11,35.23,16.71,86.38,98.83,20.32,48.39,1.17,1.53,0.5,0.0,0.56,0.54,8.77
opt-13b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,7.04,2.14,27.61,72.2,33.98,5.07,10.76,10.61,10.7,21.42,17.35,19.36,94.3,102.14,36.5,17.07,86.68,99.16,20.21,48.19,1.22,1.51,0.51,0.0,0.54,0.53,8.76
gpt-neox-20b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.18,1.93,32.43,73.71,36.02,7.07,7.74,13.53,10.62,19.17,20.53,19.82,81.43,313.87,46.46,15.3,81.09,96.19,10.08,23.36,3.01,3.62,0.47,0.03,0.62,0.29,9.1
llama-7b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,5.79,2.59,25.53,76.15,34.76,4.35,11.75,9.45,10.62,18.57,12.24,15.39,97.75,120.73,37.9,18.56,87.58,99.14,19.99,46.09,1.11,1.5,0.47,0.0,0.57,0.59,8.75
gpt-j-6b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.51,1.92,33.37,73.31,36.2,7.01,8.08,13.01,10.53,20.02,19.76,19.86,72.57,216.23,46.67,15.02,82.02,96.59,9.86,22.56,2.96,3.6,0.48,0.03,0.61,0.31,9.13
llama-7b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.25,2.22,33.05,75.59,36.95,6.62,7.67,13.06,10.28,17.33,18.21,17.68,70.82,208.73,48.42,16.44,81.58,95.87,9.38,21.55,2.94,3.61,0.47,0.03,0.63,0.32,9.09
t5-large-lm-adapt,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,6.71,1.84,45.1,63.14,36.69,8.62,-3.5,25.05,10.27,7.51,43.58,24.59,36.25,27.46,19.34,13.97,69.85,86.26,24.18,66.55,4.04,4.11,0.41,0.02,0.75,0.15,9.0
t5-small-lm-adapt,asset-test,asset-valid,3,p2,1,random,95829907.66666667,10.21,2.44,37.58,61.65,33.89,6.61,-0.77,24.17,10.27,-2.58,15.6,6.28,73.31,93.55,14.56,15.46,68.76,84.37,25.61,67.01,3.17,4.07,0.38,0.01,0.8,0.23,8.5
t5-large-lm-adapt,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,6.09,1.86,42.07,65.13,36.35,8.25,-1.84,22.98,10.17,8.74,40.04,23.59,38.94,35.71,20.93,15.38,71.29,87.57,24.24,67.0,3.74,4.02,0.42,0.03,0.74,0.17,9.01
opt-30b,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.39,1.88,31.83,71.54,35.08,7.02,6.69,13.27,9.96,21.81,23.62,22.69,70.45,163.71,46.96,15.27,81.72,96.58,9.88,23.04,2.88,3.6,0.5,0.07,0.6,0.27,9.16
bloom-3b,med-easi-test,med-easi-validation,3,p1,1,random,95829907.66666667,8.07,2.18,31.0,74.03,35.73,5.56,9.43,10.09,9.78,18.23,15.25,16.72,92.5,83.65,34.45,16.07,85.86,98.78,21.21,50.44,1.31,1.59,0.5,0.0,0.57,0.53,8.78
bloom-3b,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,6.93,2.11,29.43,73.89,35.14,6.16,9.26,9.89,9.56,19.33,16.45,17.82,90.65,176.18,35.98,17.81,84.6,98.12,22.06,53.89,1.47,1.79,0.48,0.04,0.57,0.52,8.83
bloom-7b1,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.9,1.96,37.53,72.92,37.47,7.23,4.99,14.17,9.53,16.2,21.7,18.9,60.12,138.53,44.17,14.96,79.66,96.0,11.14,27.14,3.33,3.87,0.47,0.04,0.65,0.24,9.14
bloomz-7b1,med-easi-test,med-easi-validation,3,p2,1,random,95829907.66666667,4.83,1.62,34.86,73.85,36.78,7.08,7.19,11.68,9.43,18.88,18.62,18.73,72.14,157.8,47.15,15.6,83.36,96.92,9.77,20.66,2.92,3.51,0.48,0.05,0.6,0.32,9.17
bloomz-1b1,med-easi-test,med-easi-validation,3,p0,1,random,95829907.66666667,6.89,1.76,29.44,75.18,35.46,5.17,11.34,6.9,9.15,22.14,12.81,17.43,114.99,215.56,36.21,18.52,88.75,98.83,21.33,45.86,1.04,1.42,0.49,0.07,0.51,0.59,8.77
